Pos,Equipevde,Pts,J,V,E,D,GP,GC,SG,Classificação ou descenso,time
1,Flamengo,24,11,7,3,1,24,4,+20,Fase de grupos da Copa Libertadores de 2026,Flamengo
2,Cruzeiro,24,12,7,3,2,17,8,+9,Fase de grupos da Copa Libertadores de 2026,Cruzeiro
3,Red Bull Bragantino,23,12,7,2,3,14,11,+3,Fase de grupos da Copa Libertadores de 2026,Red Bull Bragantino
4,Palmeiras,22,11,7,1,3,12,8,+4,Fase de grupos da Copa Libertadores de 2026,Palmeiras
5,Bahia,21,12,6,3,3,14,11,+3,Segunda fase da Copa Libertadores de 2026,Bahia
6,Fluminense,20,11,6,2,3,15,12,+3,Segunda fase da Copa Libertadores de 2026,Fluminense
7,Atlético Mineiro,20,12,5,5,2,13,10,+3,Fase de grupos da Copa Sul-Americana de 2026,Atlético Mineiro
8,Botafogo,18,11,5,3,3,14,7,+7,Fase de grupos da Copa Sul-Americana de 2026,Botafogo
9,Mirassol,17,11,4,5,2,17,12,+5,Fase de grupos da Copa Sul-Americana de 2026,Mirassol
10,Corinthians,16,12,4,4,4,13,15,−2,Fase de grupos da Copa Sul-Americana de 2026,Corinthians
11,Grêmio,16,12,4,4,4,12,15,−3,Fase de grupos da Copa Sul-Americana de 2026,Grêmio
12,Ceará,15,11,4,3,4,13,11,+2,Fase de grupos da Copa Sul-Americana de 2026,Ceará
13,Vasco da Gama,13,12,4,1,7,14,16,−2,,Vasco da Gama
14,São Paulo,12,12,2,6,4,10,14,−4,,São Paulo
15,Santos,11,12,3,2,7,11,14,−3,,Santos
16,Vitória,11,12,2,5,5,10,14,−4,,Vitória
17,Internacional,11,12,2,5,5,12,18,−6,Rebaixados à Série B de 2026,Internacional
18,Fortaleza,10,12,2,4,6,12,18,−6,Rebaixados à Série B de 2026,Fortaleza
19,Juventude,8,11,2,2,7,8,24,−16,Rebaixados à Série B de 2026,Juventude
20,Sport,3,11,0,3,8,5,18,−13,Rebaixados à Série B de 2026,Sport
